Time (h);amb - 100um;amb - 100um;amb - 10um;amb - 10um;amb - 1um;amb - 1um;amb - 0,1um;amb - 0,1um;amb - 0,01um;amb - 0,01um;amb - C+;amb - C+;blank amb;blank amb;
0;1763116;1698958;1729962;1736062;1693264;1717228;1720379;1706736;1716716;1709086;1697747;1694274;1702744;1742506;
0,5;1783914;1706874;1762348;1751249;169674;1692035;1734753;1684433;1693103;1706581;1678121;1682557;1666834;1721336;
1;183594;175444;1807722;1771413;1707659;1741385;1759883;1705115;1732483;1743302;1697858;170479;168391;1725513;
1,5;1838577;175677;1808611;1791518;1744919;1750037;1772757;1717768;172535;1759583;168639;1721644;1670111;1709238;
2;1873639;1785552;1848815;18042;1754052;1769572;1800602;1760605;1750031;1779497;1722249;1726115;1666904;1712959;
2,5;1883433;1782469;1858388;183537;1769463;1787794;1804941;1754143;1785406;1786273;1702428;171901;1678219;1697598;
3;1885145;1781144;1855377;183219;1769879;1772134;1802847;1757187;1797168;1797479;1721227;1723586;1666426;1692778;
3,5;191174;1814033;1875219;1842016;1800113;1779662;1826811;1768638;1806641;1819412;1729166;175158;1668246;1683815;
4;1935502;1829405;1900804;1852555;1799267;1795914;184495;1790748;1832483;183496;1740638;1740954;1669687;1701175;
4,5;1960116;1843963;1909066;1869439;1799504;1803195;1835203;1795732;1840293;1831499;1733191;1764889;1680384;1703685;
5;1967879;1838966;1925188;1873726;1812917;1823697;1857355;1802524;1849061;1834273;1726576;1751894;1671617;1699965;
5,5;1956369;1827846;1905441;1880131;1824312;181336;1847888;1783154;1834945;1841487;1724468;1768345;1659631;1678211;
6;195979;183398;1907626;1875338;1822578;1821126;1853535;1807822;1850954;1839162;1747465;1751771;1672402;1691294;
6,5;1969321;1849795;1913481;1885779;1823402;1828852;186107;180741;1858864;1840694;1740143;1761909;1664169;1681851;
7;1976039;1848375;1937976;1899564;1826126;1824267;1866031;1822368;1877086;1864783;175153;1774245;1673666;1686846;
7,5;2000535;1852807;1944609;1898034;1825105;1835828;1853632;1803215;1868688;1871679;1739469;1771547;1673995;1679097;
8;1986863;186028;193633;1909352;1837171;183068;1864691;1817837;1870184;1866119;175902;1784627;1673166;1678717;
8,5;2014051;1883626;1939034;1907269;1864418;1838356;1885026;1833887;1899269;1874989;1753449;1784885;1671471;1684953;
9;1999594;187772;195764;190889;1865947;1834638;1894638;1820266;1878229;1879958;1751969;177374;1672305;1681187;
9,5;2020968;1885866;1962684;1915958;1873873;1853968;1895079;18212;1878041;189125;176439;1784404;1666437;1682634;
10;2021911;1890059;1957822;191318;1875064;1845308;1895824;1831422;1883379;1872059;1774566;1811062;1652941;1685911;
10,5;2007144;1883942;1957897;1915602;1877261;1853581;1892072;1818902;1894619;1873084;179095;1806387;1649153;1663549;
11;2019983;1901612;1961578;1911778;1867956;1854808;1893821;1837065;1894065;1878157;1784238;1810616;1656209;1677073;
11,5;2027097;1900997;1956603;1914131;187363;1854553;191445;1838485;1881202;1871941;1785064;1801363;1660699;1680385;
12;2014099;1904012;1961943;1938077;1874428;1849843;1906329;1842091;1912723;1887249;1779672;1810158;1648887;1674553;
